中央處理器,CPU,
顯示器模組,monitor,
機殼,computer case,
電池,battery,
顯示卡,display card,
磁碟儲存系統,hard disk drive,HDD
多功能視訊卡,multifunctional video card,video card
連接線,cable,computer cable
晶片組,chipset,
記憶體,memory card,SD card
電源供應器,power supplier,
散熱片,CPU fan,
風扇馬達,fan motor,
散熱模組,thermal module,
硬碟機,hard disk,SSD
嵌入式軟體,BIOS,
光學鏡片,optical lens,
機構樞紐,null,
面版,panel,
主機板,motherboard,
網路卡,network card,
輸出入模組,I/O module,
輸出入介面卡,null,
光碟機,CD player,
隨身碟,USB,
記憶卡讀卡機,memory card reader,
光碟片,CD,
金屬模具,metal mould,metal mold
塑膠模具,plastic mould,plastic mold
筆記型電腦,laptop,
桌上型電腦,desktop computer,
精簡型電腦,thin client,thin-client
印表機,printer,
傳真機,fax machine,
掃描機,scanner,
多功能事務機,multi-function printer,
投影機,projector,
工業電腦,industrial PC,
伺服器,server,
安全監控系統,security monitoring system,
電腦週邊,computer peripheral,
